Entry,Gene Ontology (biological process)
A8M6W3,amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; lipid biosynthetic process [GO:0008610]; toxin biosynthetic process [GO:0009403]
A8M6W6,alkaloid metabolic process [GO:0009820]
B0BNF8,angiogenesis [GO:0001525]; import into nucleus [GO:0051170]; positive regulation of programmed cell death [GO:0043068]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of angiogenesis [GO:0045765]
B0I564,DNA repair [GO:0006281]
B0WQ10,apoptotic DNA fragmentation [GO:0006309]
B0XAA1,carbohydrate metabolic process [GO:0005975]
B1ARY8,determination of left/right symmetry [GO:0007368]; heart development [GO:0007507]
B4ER92,antibiotic biosynthetic process [GO:0017000]; fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]
B4ER95,antibiotic biosynthetic process [GO:0017000]; fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]
B4ER96,fatty acid biosynthetic process [GO:0006633]; macrolide biosynthetic process [GO:0033068]
B4ER97,fatty acid biosynthetic process [GO:0006633]; macrolide biosynthetic process [GO:0033068]
B6ZKM3,glucan catabolic process [GO:0009251]; isoquinoline alkaloid biosynthetic process [GO:0033075]
B6ZKM4,glucan catabolic process [GO:0009251]; isoquinoline alkaloid biosynthetic process [GO:0033075]
B6ZKM5,glucan catabolic process [GO:0009251]; isoquinoline alkaloid biosynthetic process [GO:0033075]
B6ZKN1,glucan catabolic process [GO:0009251]; isoquinoline alkaloid biosynthetic process [GO:0033075]
B7R4L8,rRNA acetylation involved in maturation of SSU-rRNA [GO:1904812]; tRNA acetylation [GO:0051391]; tRNA wobble cytosine modification [GO:0002101]
B8JI67,sperm-egg recognition [GO:0035036]
B8NLZ3,negative regulation of protein targeting to mitochondrion [GO:1903215]
B9ZUK6,antibiotic biosynthetic process [GO:0017000]; lactate catabolic process [GO:1903457]
C0HMB8,defense response [GO:0006952]
C0HMB9,defense response [GO:0006952]
C0HMC0,defense response [GO:0006952]
C0HMC1,defense response [GO:0006952]
C0HMC2,defense response [GO:0006952]
C3W5S0,cap snatching [GO:0075526]; DNA-templated transcription [GO:0006351]; symbiont-mediated suppression of host gene expression [GO:0039657]; symbiont-mediated suppression of host mRNA transcription via inhibition of RNA polymerase II activity [GO:0039523]; viral RNA genome replication [GO:0039694]; viral translational frameshifting [GO:0075523]
C5E4D9,cytoplasmic translational elongation [GO:0002182]
C6KT66,amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
C6SZ50,"coenzyme A biosynthetic process [GO:0015937]; photoperiodism, flowering [GO:0048573]; positive regulation of response to salt stress [GO:1901002]; response to abscisic acid [GO:0009737]; response to cold [GO:0009409]; response to lithium ion [GO:0010226]; response to salt [GO:1902074]; response to sorbitol [GO:0072708]"
C6TA59,"coenzyme A biosynthetic process [GO:0015937]; photoperiodism, flowering [GO:0048573]; positive regulation of response to salt stress [GO:1901002]; response to abscisic acid [GO:0009737]; response to cold [GO:0009409]; response to lithium ion [GO:0010226]; response to salt [GO:1902074]; response to sorbitol [GO:0072708]"
C7M8J5,alpha-amino acid metabolic process [GO:1901605]
C7M8J6,biosynthetic process [GO:0009058]
D1A230,response to cadmium ion [GO:0046686]
D1FQ14,suppression of platelet aggregation in another organism [GO:0035893]
D1MWE7,suppression of blood coagulation in another organism [GO:0035899]; symbiont-mediated perturbation of host defenses [GO:0030682]
D2VS83,microtubule cytoskeleton organization [GO:0000226]
D3KY98,isoquinoline alkaloid biosynthetic process [GO:0033075]; methylation [GO:0032259]
D3KY99,isoquinoline alkaloid biosynthetic process [GO:0033075]; methylation [GO:0032259]
D3KYA0,isoquinoline alkaloid biosynthetic process [GO:0033075]; methylation [GO:0032259]
D3TS87,apoptotic DNA fragmentation [GO:0006309]
D3YXF5,"complement activation, classical pathway [GO:0006958]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; positive regulation of immune response [GO:0050778]"
D3ZX63,fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; negative regulation of receptor internalization [GO:0002091]; regulation of epidermal growth factor receptor signaling pathway [GO:0042058]; regulation of MAPK cascade [GO:0043408]; single fertilization [GO:0007338]
D4A4L4,axon development [GO:0061564]; microtubule cytoskeleton organization [GO:0000226]
D4GVA8,double-strand break repair [GO:0006302]
D4QD81,venom-mediated fibrinogenolysis in another organism [GO:0044485]; venom-mediated fibrinolysis [GO:0044484]
D8QZ31,fatty acid biosynthetic process [GO:0006633]; oxylipin biosynthetic process [GO:0031408]
D8S724,fatty acid biosynthetic process [GO:0006633]; oxylipin biosynthetic process [GO:0031408]
E0CZ22,lysosome fission [GO:0170064]
E0D202,antibiotic biosynthetic process [GO:0017000]; fatty acid biosynthetic process [GO:0006633]; secondary metabolite biosynthetic process [GO:0044550]
E0D203,fatty acid biosynthetic process [GO:0006633]; macrolide biosynthetic process [GO:0033068]
E0D204,fatty acid biosynthetic process [GO:0006633]; macrolide biosynthetic process [GO:0033068]
E0D205,fatty acid biosynthetic process [GO:0006633]; macrolide biosynthetic process [GO:0033068]
E0D206,fatty acid biosynthetic process [GO:0006633]; macrolide biosynthetic process [GO:0033068]; phenol-containing compound biosynthetic process [GO:0046189]; toxin biosynthetic process [GO:0009403]
E0D207,antibiotic biosynthetic process [GO:0017000]
E0D208,antibiotic biosynthetic process [GO:0017000]; methylation [GO:0032259]
E0D209,antibiotic biosynthetic process [GO:0017000]; regulation of DNA-templated transcription [GO:0006355]
E0N688,cell wall organization [GO:0071555]; proteolysis [GO:0006508]
E1B8U2,"regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; tRNA methylation [GO:0030488]"
E1BMV3,extracellular matrix organization [GO:0030198]; growth plate cartilage chondrocyte morphogenesis [GO:0003429]; regulation of bone mineralization [GO:0030500]
E1BN00,potassium ion import across plasma membrane [GO:1990573]; regulation of monoatomic ion transmembrane transport [GO:0034765]
E6Y8B9,proteolysis [GO:0006508]
E7FEL0,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cellular response to acidic pH [GO:0071468]; G protein-coupled receptor signaling pathway [GO:0007186]; response to acidic pH [GO:0010447]
E7FL15,isoquinoline alkaloid biosynthetic process [GO:0033075]; methylation [GO:0032259]
E9Q368,tRNA methylation [GO:0030488]
E9Q3D4,L-fucose catabolic process [GO:0042355]
E9Q3G8,amyloid fibril formation [GO:1990000]; negative regulation of RNA export from nucleus [GO:0046832]; nuclear pore complex assembly [GO:0051292]; nucleocytoplasmic transport [GO:0006913]
E9Q6D8,"complement activation, classical pathway [GO:0006958]; in utero embryonic development [GO:0001701]; innate immune response [GO:0045087]; killing of cells of another organism [GO:0031640]; positive regulation of immune response [GO:0050778]"
F1M928,cell adhesion [GO:0007155]; fusion of sperm to egg plasma membrane involved in single fertilization [GO:0007342]; single fertilization [GO:0007338]; sperm-egg recognition [GO:0035036]
F4JP43,cell wall organization [GO:0071555]; regulation of gene expression [GO:0010468]; regulation of meristem structural organization [GO:0009934]; regulation of root development [GO:2000280]; response to salt stress [GO:0009651]
F6K5S6,defense response to bacterium [GO:0042742]
F6K6F3,defense response to bacterium [GO:0042742]
F8AME3,heme biosynthetic process [GO:0006783]; lipid metabolic process [GO:0006629]
F8V2V0,negative stranded viral RNA replication [GO:0039689]; negative stranded viral RNA transcription [GO:0039697]
G0RBE3,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; IRE1-mediated unfolded protein response [GO:0036498]; mRNA processing [GO:0006397]
G0S1P8,cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]
G0S5S6,protein import into nucleus [GO:0006606]; ribosomal large subunit biogenesis [GO:0042273]
G0SCH6,ribosome biogenesis [GO:0042254]
G0SE11,protein urmylation [GO:0032447]; tRNA thio-modification [GO:0034227]; tRNA wobble uridine modification [GO:0002098]
G0SEG2,ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
G0SF80,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit assembly [GO:0000027]"
G0SHQ2,translation [GO:0006412]
G1X456,adenylate cyclase-activating glucose-activated G protein-coupled receptor signaling pathway [GO:0010619]; negative regulation of gluconeogenesis [GO:0045721]; negative regulation of induction of conjugation with cellular fusion [GO:0010515]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein export from nucleus [GO:0046827]
G1X9A9,regulation of transcription by RNA polymerase II [GO:0006357]
G1X9E2,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell surface receptor signaling pathway [GO:0007166]
G1XJN1,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell surface receptor signaling pathway [GO:0007166]
G1XJZ0,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]
G1XJZ4,stress-activated MAPK cascade [GO:0051403]
G1XLI4,phosphorelay signal transduction system [GO:0000160]
G2WWH6,regulation of Rab protein signal transduction [GO:0032483]
G2X0L1,xylan catabolic process [GO:0045493]
