Entry,Temperature dependence
P0DXJ3,BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Optimum temperature is 30 degrees Celsius. {ECO:0000269|PubMed:11937349};
P0DY04,BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Partially and reversibly loses its structure as temperature increases. {ECO:0000269|PubMed:27267248};
Q8KN66,BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Optimum temperature is between 37 and 42 degrees Celsius. {ECO:0000269|PubMed:10747995};
Q95P65,BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Optimum temperature is 40 degrees Celsius. Active from 20 to 47 degrees Celsius. {ECO:0000269|PubMed:20351782};
Q97ZJ8,BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Optimum temperature is 75 degrees Celsius for topoisomerase activity (PubMed:29253195). Optimum temperature for decatenase is 75-90 degrees Celsius (PubMed:29253195). {ECO:0000269|PubMed:29253195};
Q9RHD7,"BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Activity is relatively constant over a wide temperature range from 37 to 56 degrees Celsius (PubMed:10931835). Optimum temperature is between 37 and 42 degrees Celsius (PubMed:18065759). {ECO:0000269|PubMed:10931835, ECO:0000269|PubMed:18065759};"
V9LFM0,BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Thermostable between pH 4.0-9.5. Average melting temperature (Tm) across all pH values is 71 degrees Celsius. Lower melting temperature in acidic pH 4.0-5.0. {ECO:0000269|PubMed:39584689};
V9TNS0,BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Optimum temperature is 50 degrees Celsius. {ECO:0000269|PubMed:24262572};
V9TS54,BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Optimum temperature is 60 degrees Celsius. {ECO:0000269|PubMed:24262572};
V9TT49,BIOPHYSICOCHEMICAL PROPERTIES:  Temperature dependence: Optimum temperature is 50 degrees Celsius. {ECO:0000269|PubMed:24262572};
